sale_id,product_id,sale_amount,sale_date
1,49,771.08,2023-05-06
2,9,192.09,2023-07-14
3,11,36.58,2023-08-07
4,17,404.7,2023-05-01
5,58,417.62,2023-06-15
6,82,557.92,2023-06-10
7,72,166.28,2023-11-12
8,2,586.96,2023-05-25
9,92,914.85,2023-04-12
10,18,973.54,2023-01-10
11,90,225.07,2023-06-07
12,62,735.43,2023-11-13
13,40,290.7,2023-03-19
14,63,971.66,2023-08-01
15,57,474.41,2023-03-08
16,43,812.92,2023-12-23
17,39,865.41,2023-09-28
18,25,773.52,2023-09-14
19,32,862.62,2023-09-22
20,22,597.67,2023-12-05
21,93,274.73,2023-02-11
22,29,828.34,2023-12-28
23,24,256.17,2023-04-07
24,57,639.44,2023-06-30
25,52,764.19,2023-02-23
26,88,647.35,2023-01-20
27,39,42.36,2023-03-03
28,16,245.41,2023-05-11
29,59,333.93,2023-11-20
30,66,133.66,2023-08-03
31,89,695.42,2023-11-09
32,13,76.54,2023-09-17
33,100,445.89,2023-12-31
34,62,496.61,2023-03-13
35,91,756.95,2023-03-19
36,92,671.84,2023-06-13
37,18,878.26,2023-01-22
38,76,660.87,2023-05-28
39,46,359.74,2023-12-27
40,72,646.35,2023-11-10
41,81,287.89,2023-02-11
42,31,807.78,2023-10-06
43,33,190.28,2023-06-17
44,13,863.97,2023-10-02
45,80,27.21,2023-04-28
46,72,912.87,2023-04-01
47,66,557.96,2023-03-10
48,71,942.05,2023-04-25
49,16,44.1,2023-11-07
50,71,770.93,2023-07-07
51,42,927.33,2023-04-26
52,59,289.5,2023-07-10
53,29,100.87,2023-03-14
54,50,541.71,2023-06-05
55,24,494.95,2023-06-12
56,62,952.59,2023-09-03
57,31,203.12,2023-11-05
58,76,39.51,2023-03-02
59,90,897.28,2023-08-12
60,43,79.36,2023-01-01
61,27,560.78,2023-09-13
62,64,730.28,2023-07-17
63,85,762.47,2023-05-26
64,61,632.28,2023-01-27
65,35,616.87,2023-12-27
66,44,967.65,2023-08-01
67,22,170.53,2023-09-14
68,7,212.42,2023-06-17
69,84,102.83,2023-02-25
70,12,631.29,2023-04-11
71,27,78.49,2023-01-23
72,27,728.42,2023-06-11
73,57,629.17,2023-01-20
74,34,802.17,2023-11-20
75,30,160.51,2023-01-01
76,5,69.84,2023-03-12
77,65,315.28,2023-07-09
78,23,538.61,2023-04-18
79,39,34.67,2023-08-05
80,88,582.25,2023-12-19
81,30,508.98,2023-02-20
82,83,965.51,2023-06-22
83,11,959.33,2023-08-09
84,96,505.65,2023-01-06
85,67,943.22,2023-09-07
86,44,696.29,2023-10-01
87,73,294.12,2023-03-10
88,89,713.85,2023-10-15
89,44,434.62,2023-06-28
90,52,216.08,2023-07-17
91,19,377.13,2023-02-02
92,34,175.04,2023-01-04
93,36,781.22,2023-07-03
94,41,316.14,2023-09-09
95,70,608.63,2023-10-14
96,51,371.76,2023-01-13
97,48,989.1,2023-04-22
98,51,588.8,2023-09-21
99,3,479.26,2023-12-06
100,17,946.73,2023-10-08
101,6,245.53,2023-02-21
102,34,548.79,2023-12-27
103,46,747.28,2023-11-15
104,36,698.59,2023-02-06
105,60,590.32,2023-07-11
106,95,588.72,2023-03-25
107,12,239.85,2023-02-02
108,3,799.67,2023-04-30
109,43,459.34,2023-07-27
110,92,596.19,2023-03-01
111,70,294.35,2023-10-08
112,9,184.31,2023-12-18
113,16,621.4,2023-10-24
114,98,890.54,2023-04-30
115,4,597.45,2023-03-10
116,62,418.22,2023-03-10
117,38,944.43,2023-02-08
118,85,692.88,2023-06-28
119,3,506.01,2023-04-16
120,49,23.65,2023-12-18
121,43,520.5,2023-06-03
122,47,295.39,2023-06-02
123,75,506.83,2023-04-12
124,52,335.1,2023-05-02
125,63,29.43,2023-01-13
126,42,472.14,2023-09-19
127,24,624.34,2023-12-18
128,53,757.14,2023-09-16
129,95,552.09,2023-10-12
130,3,840.0,2023-03-12
131,31,675.38,2023-03-14
132,25,746.33,2023-12-15
133,32,921.74,2023-07-22
134,97,109.65,2023-07-11
135,72,721.69,2023-10-07
136,11,587.73,2023-06-26
137,88,653.21,2023-05-31
138,27,975.83,2023-06-20
139,36,281.41,2023-06-08
140,15,48.08,2023-06-15
141,70,454.72,2023-12-11
142,66,786.37,2023-09-05
143,91,754.99,2023-12-28
144,71,332.84,2023-04-16
145,66,759.42,2023-10-10
146,69,689.36,2023-12-03
147,7,480.33,2023-04-25
148,10,376.74,2023-02-28
149,90,300.6,2023-04-05
150,93,659.1,2023-05-02
151,98,455.76,2023-12-28
152,14,369.17,2023-06-12
153,75,178.34,2023-07-03
154,94,301.79,2023-08-24
155,18,343.13,2023-12-27
156,43,940.55,2023-03-08
157,75,72.41,2023-06-11
158,22,826.94,2023-09-11
159,93,285.09,2023-05-07
160,63,160.46,2023-06-15
161,78,98.78,2023-11-30
162,60,117.71,2023-07-07
163,80,499.49,2023-03-10
164,4,375.59,2023-04-09
165,87,398.96,2023-01-22
166,63,978.44,2023-06-03
167,98,632.68,2023-11-16
168,23,484.82,2023-07-26
169,28,196.51,2023-08-08
170,43,761.87,2023-03-23
171,4,548.34,2023-09-15
172,50,30.29,2023-09-15
173,69,834.47,2023-01-24
174,60,452.5,2023-01-21
175,97,776.57,2023-05-28
176,5,991.66,2023-12-04
177,9,867.93,2023-12-28
178,50,508.58,2023-12-12
179,2,981.36,2023-12-22
180,89,240.78,2023-08-22
181,100,743.24,2023-05-20
182,93,418.51,2023-08-18
183,28,926.72,2023-07-19
184,8,973.89,2023-12-05
185,68,224.82,2023-05-02
186,34,226.0,2023-04-22
187,7,226.79,2023-10-03
188,69,688.91,2023-10-01
189,79,429.52,2023-06-04
190,37,863.05,2023-02-09
191,56,490.81,2023-05-07
192,2,719.22,2023-09-05
193,58,727.35,2023-10-01
194,22,472.34,2023-07-14
195,55,984.87,2023-05-02
196,31,817.3,2023-07-07
197,74,226.76,2023-08-16
198,43,844.53,2023-05-29
199,30,468.27,2023-12-21
200,15,134.39,2023-02-12
201,25,788.31,2023-03-16
202,80,136.74,2023-03-28
203,91,991.62,2023-04-13
204,87,699.63,2023-12-06
205,43,451.02,2023-10-31
206,51,643.86,2023-10-15
207,10,641.89,2023-03-06
208,15,643.69,2023-06-03
209,21,945.36,2023-02-18
210,68,519.33,2023-01-14
211,60,725.93,2023-03-14
212,21,266.79,2023-11-09
213,19,615.94,2023-09-14
214,80,560.41,2023-12-06
215,97,90.6,2023-04-11
216,33,120.23,2023-02-08
217,77,736.86,2023-11-15
218,71,358.88,2023-08-28
219,5,934.86,2023-08-20
220,75,775.73,2023-01-10
221,32,320.86,2023-02-16
222,23,250.69,2023-08-29
223,74,788.04,2023-08-23
224,96,11.05,2023-02-24
225,8,567.89,2023-07-16
226,28,873.07,2023-10-30
227,71,420.72,2023-09-11
228,90,582.38,2023-09-24
229,52,618.71,2023-05-31
230,62,817.79,2023-11-08
231,22,831.36,2023-10-02
232,48,282.36,2023-03-11
233,72,938.18,2023-08-23
234,29,266.6,2023-11-16
235,27,861.4,2023-01-19
236,8,983.06,2023-12-17
237,4,341.48,2023-07-12
238,7,617.64,2023-08-31
239,1,633.18,2023-11-03
240,7,216.8,2023-01-26
241,3,111.79,2023-08-02
242,54,549.52,2023-12-03
243,67,454.17,2023-09-21
244,38,25.08,2023-07-30
245,55,295.23,2023-12-26
246,60,770.08,2023-06-02
247,28,342.3,2023-10-10
248,22,112.87,2023-09-09
249,24,688.54,2023-05-17
250,7,301.11,2023-04-18
251,49,822.38,2023-09-02
252,62,401.66,2023-01-06
253,21,564.8,2023-07-04
254,78,907.41,2023-01-29
255,9,986.33,2023-04-16
256,81,257.64,2023-06-03
257,95,212.89,2023-08-28
258,80,359.66,2023-12-20
259,14,536.16,2023-06-23
260,9,691.86,2023-02-19
261,24,511.6,2023-01-31
262,46,704.27,2023-11-06
263,94,556.72,2023-10-01
264,58,877.39,2023-07-15
265,80,27.31,2023-02-22
266,74,845.98,2023-02-22
267,77,944.9,2023-06-24
268,3,58.62,2023-11-30
269,83,873.37,2023-02-04
270,38,625.4,2023-04-21
271,65,420.71,2023-07-27
272,13,614.47,2023-05-15
273,50,987.24,2023-02-12
274,71,464.84,2023-10-01
275,51,177.6,2023-11-07
276,94,139.38,2023-06-25
277,61,959.78,2023-08-03
278,14,642.53,2023-05-10
279,9,454.24,2023-05-21
280,64,831.99,2023-12-17
281,98,963.45,2023-06-08
282,2,236.67,2023-07-06
283,9,496.82,2023-02-12
284,98,678.27,2023-10-21
285,50,857.78,2023-02-23
286,67,959.19,2023-04-24
287,95,219.3,2023-10-22
288,68,212.88,2023-01-27
289,65,13.32,2023-05-03
290,62,215.12,2023-07-04
291,58,664.49,2023-10-09
292,98,323.17,2023-08-04
293,53,249.45,2023-06-30
294,3,674.41,2023-11-15
295,37,368.41,2023-09-22
296,62,585.71,2023-06-09
297,48,151.14,2023-06-20
298,76,950.33,2023-03-30
299,28,524.25,2023-08-27
300,90,679.81,2023-04-23
301,11,991.31,2023-08-20
302,50,360.34,2023-02-14
303,4,957.58,2023-02-12
304,6,479.2,2023-04-07
305,81,409.74,2023-09-09
306,96,333.8,2023-01-14
307,74,634.58,2023-04-03
308,4,21.6,2023-11-22
309,88,515.07,2023-12-08
310,89,404.49,2023-01-28
311,25,598.53,2023-04-30
312,44,718.6,2023-04-15
313,10,984.1,2023-07-23
314,34,166.37,2023-03-23
315,26,857.71,2023-05-21
316,81,81.84,2023-10-08
317,68,557.91,2023-09-12
318,33,647.49,2023-08-16
319,60,861.11,2023-04-16
320,60,46.68,2023-11-03
321,98,291.64,2023-12-12
322,26,371.14,2023-03-27
323,23,986.27,2023-12-26
324,39,783.62,2023-04-06
325,30,902.46,2023-03-19
326,78,572.87,2023-03-28
327,95,322.69,2023-04-18
328,85,996.74,2023-08-15
329,67,373.39,2023-12-28
330,91,112.1,2023-02-13
331,57,640.36,2023-01-24
332,74,272.41,2023-01-17
333,80,251.92,2023-06-14
334,72,593.45,2023-07-31
335,31,193.83,2023-04-21
336,62,159.55,2023-10-08
337,26,75.62,2023-11-26
338,62,193.5,2023-02-05
339,41,768.36,2023-01-17
340,69,305.95,2023-06-08
341,44,113.47,2023-11-10
342,10,685.09,2023-03-29
343,95,873.41,2023-06-21
344,64,563.37,2023-02-13
345,34,474.07,2023-12-03
346,55,205.89,2023-01-06
347,23,739.96,2023-12-04
348,62,90.03,2023-03-19
